timestamp,spot_price,futures_price,strike,call_chg_oi,call_oi,price,put_oi,put_chg_oi,call_chg_oi_class,call_oi_class,put_oi_class,put_chg_oi_class,highlighted,every_500
2025-06-21 13:28,56252.85,56292.8,-1,0,0,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61300,1.15K,6.88K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61200,-1.10K,8.56K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61100,-30,7.80K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,61000,-57.60K,784.24K,,23.36K,500,call-chg-oi-2,call-oi-4,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,60900,-8.04K,29.67K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60800,-1.77K,31.68K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60700,840,40.89K,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60600,-4.41K,44.67K,,190,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60500,-61.32K,351.42K,,35,0,call-chg-oi-2,call-oi-2,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,60400,3.16K,50.02K,,155,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60300,-7.65K,52.29K,,120,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60200,10.59K,110.25K,,60,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60100,-4.98K,44.83K,,180,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,60000,-56.63K,1.65M,,104.56K,-2.00K,call-chg-oi-2,call-oi-7,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,59900,-17.97K,48.58K,,65,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59800,-18.60K,62.16K,,295,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59700,485,198.00K,,225,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59600,6.36K,74.16K,,230,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59500,-249.19K,719.57K,,1.80K,-175,call-chg-oi-8,call-oi-3,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,59400,-10.71K,57.65K,,125,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59300,-14.46K,49.98K,,300,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59200,-39.87K,59.41K,,590,-60,call-chg-oi-2,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59100,240,55.56K,,850,270,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,59000,-343.60K,1.59M,,19.77K,-2.17K,call-chg-oi-10,call-oi-7,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,58900,-10.52K,77.89K,,400,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58800,-134.81K,94.33K,,280,0,call-chg-oi-4,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58700,24.15K,90.50K,,335,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58600,12.07K,79.23K,,320,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58500,-193.39K,1.09M,,15.14K,-4.09K,call-chg-oi-6,call-oi-5,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,58400,-1.32K,93.82K,,180,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58300,10.57K,138.38K,,615,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58200,-39.80K,130.53K,,2.20K,-60,call-chg-oi-2,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58100,26.36K,144.37K,,1.20K,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,58000,132.25K,1.73M,,133.38K,-4.17K,call-chg-oi-4,call-oi-8,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,57900,25.41K,132.99K,,2.48K,-110,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57800,725,209.65K,,4.42K,5,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57700,3.44K,139.56K,,2.92K,155,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57600,25.36K,141.29K,,4.87K,240,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57500,-10.41K,1.10M,,79.61K,4.48K,call-chg-oi-1,call-oi-5,put-oi-1,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,57400,30.82K,172.13K,,12.01K,120,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57300,-6.89K,159.37K,,14.06K,300,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57200,12.06K,230.18K,,29.18K,-12.46K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57100,7.09K,203.87K,,30.70K,595,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,57000,-122.10K,1.84M,,356.82K,13.20K,call-chg-oi-4,call-oi-8,put-oi-2,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,56900,-21.23K,325.22K,,97.02K,-9.06K,call-chg-oi-1,call-oi-2,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,56800,23.11K,383.26K,,94.92K,-1.51K,call-chg-oi-1,call-oi-2,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,56700,-18.12K,336.76K,,93.63K,31.86K,call-chg-oi-1,call-oi-2,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,56600,-43.12K,332.18K,,109.63K,17.82K,call-chg-oi-2,call-oi-2,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,56500,1.23K,1.45M,,521.66K,92.30K,call-chg-oi-1,call-oi-6,put-oi-3,put-chg-oi-2,0,1
2025-06-21 13:28,56252.85,56292.8,56400,28.32K,259.38K,,166.56K,33.30K,call-chg-oi-1,call-oi-2,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,56300,129.50K,365.30K,,225.01K,157.46K,call-chg-oi-4,call-oi-2,put-oi-1,put-chg-oi-4,1,0
2025-06-21 13:28,56252.85,56292.8,56200,113.81K,434.21K,,376.61K,285.29K,call-chg-oi-4,call-oi-2,put-oi-2,put-chg-oi-6,0,0
2025-06-21 13:28,56252.85,56292.8,56100,70.56K,312.95K,,323.45K,218.56K,call-chg-oi-3,call-oi-2,put-oi-2,put-chg-oi-5,0,0
2025-06-21 13:28,56252.85,56292.8,56000,-298.75K,2.43M,,2.60M,505.12K,call-chg-oi-9,call-oi-10,put-oi-10,put-chg-oi-10,0,1
2025-06-21 13:28,56252.85,56292.8,55900,-154.60K,222.04K,,343.60K,191.87K,call-chg-oi-5,call-oi-1,put-oi-2,put-chg-oi-4,0,0
2025-06-21 13:28,56252.85,56292.8,55800,-243.51K,355.96K,,584.70K,235.74K,call-chg-oi-8,call-oi-2,put-oi-3,put-chg-oi-5,0,0
2025-06-21 13:28,56252.85,56292.8,55700,-228.67K,183.54K,,411.20K,138.11K,call-chg-oi-7,call-oi-1,put-oi-2,put-chg-oi-3,0,0
2025-06-21 13:28,56252.85,56292.8,55600,-165.88K,135.84K,,347.28K,69.10K,call-chg-oi-5,call-oi-1,put-oi-2,put-chg-oi-2,0,0
2025-06-21 13:28,56252.85,56292.8,55500,-197.47K,513.38K,,1.27M,239.29K,call-chg-oi-6,call-oi-3,put-oi-5,put-chg-oi-5,0,1
2025-06-21 13:28,56252.85,56292.8,55400,-32.07K,63.66K,,360.20K,123.97K,call-chg-oi-1,call-oi-1,put-oi-2,put-chg-oi-3,0,0
2025-06-21 13:28,56252.85,56292.8,55300,-14.60K,38.09K,,237.53K,-13.35K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,55200,-10.25K,32.76K,,176.76K,365,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,55100,-5.04K,12.77K,,216.76K,45.02K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,55000,-79.54K,520.19K,,1.93M,363.89K,call-chg-oi-3,call-oi-3,put-oi-8,put-chg-oi-8,0,1
2025-06-21 13:28,56252.85,56292.8,54900,-2.60K,11.37K,,152.50K,31.34K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,54800,-8.28K,11.70K,,135.87K,19.71K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,54700,-420,9.43K,,109.41K,-8.96K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,54600,-1.02K,14.13K,,160.11K,14.81K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,54500,-4.63K,71.70K,,931.23K,103.64K,call-chg-oi-1,call-oi-1,put-oi-4,put-chg-oi-3,0,1
2025-06-21 13:28,56252.85,56292.8,54400,-300,3.53K,,114.07K,-107.72K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-3,0,0
2025-06-21 13:28,56252.85,56292.8,54300,-180,3.08K,,108.71K,14.61K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,54200,60,2.37K,,100.36K,-56.27K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-2,0,0
2025-06-21 13:28,56252.85,56292.8,54100,35,4.12K,,74.02K,10.78K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,54000,-23.20K,208.78K,,1.21M,-39.01K,call-chg-oi-1,call-oi-1,put-oi-5,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,53900,-180,1.98K,,59.62K,-13.54K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,53800,0,1.58K,,177.13K,84.90K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-2,0,0
2025-06-21 13:28,56252.85,56292.8,53700,5,2.67K,,76.00K,10.29K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,53600,-55,2.31K,,40.44K,-16.37K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,53500,-1.20K,51.22K,,830.67K,128.41K,call-chg-oi-1,call-oi-1,put-oi-4,put-chg-oi-3,0,1
2025-06-21 13:28,56252.85,56292.8,53400,0,1.07K,,52.92K,-16.48K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,53300,0,2.29K,,43.05K,-32.25K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,53200,0,680,,128.68K,43.53K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,53100,0,3.08K,,43.98K,3.38K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,53000,-5.59K,152.03K,,1.19M,-24.11K,call-chg-oi-1,call-oi-1,put-oi-5,put-chg-oi-1,0,1
2025-06-21 13:28,56252.85,56292.8,52900,0,400,,44.38K,2.54K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52800,0,2.29K,,47.02K,-1.26K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52700,0,225,,49.98K,15.11K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52600,0,365,,27.38K,1.35K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52500,-470,66.35K,,632.25K,144.65K,call-chg-oi-1,call-oi-1,put-oi-3,put-chg-oi-3,0,1
2025-06-21 13:28,56252.85,56292.8,52400,0,130,,72.03K,32.07K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52300,0,580,,28.61K,-10.55K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52200,0,2.16K,,34.82K,2.28K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52100,0,370,,31.44K,1.07K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,52000,1.44K,135.68K,,1.16M,143.04K,call-chg-oi-1,call-oi-1,put-oi-5,put-chg-oi-3,0,1
2025-06-21 13:28,56252.85,56292.8,51900,105,1.54K,,29.74K,10.69K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,51800,0,1.90K,,26.50K,4.75K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,51700,0,885,,15.46K,940,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,51600,0,915,,13.13K,-7.98K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,51500,260,19.97K,,632.34K,154.84K,call-chg-oi-1,call-oi-1,put-oi-3,put-chg-oi-4,0,1
2025-06-21 13:28,56252.85,56292.8,51400,-120,910,,8.56K,660,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,51300,0,770,,13.78K,-3.66K,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
2025-06-21 13:28,56252.85,56292.8,-1,0,0,,0,0,call-chg-oi-1,call-oi-1,put-oi-1,put-chg-oi-1,0,0
